"SOURCE_FIELD_NAME","OSCAL_MODEL","OSCAL_ELEMENT_PATH","MAPPING_TYPE","NOTES","EXECUTION_STATUS","TRANSFORM_ID","RUNTIME_TARGET_PATH","RULE_ID","SOURCE_KEY","ALLOWED_VALUES","VALUE_MAP","OTHER_REMARKS_TEMPLATE","ROLE_ID","ROLE_TITLE","REFERENCE_TYPE","LOOKUP_KEY","DESCRIPTION_REQUIRED","ORIGINAL_ROW_ID","SOURCE_DOCUMENT","SOURCE_LINE","ORIGINAL_EXCEL_ROW","EXECUTION_NOTE"
"ARCHER_CONTENT_AUTHORIZATION_PACKAGE_CONFIRMED_IN_ARCHER","SSP - Metadata","system-security-plan.metadata.props","TBD","Confirm intended property name and value semantics.","DEFERRED","","","","source-one","","","","","","","","","1","Mapping/SSP_METADATA.md","11","","Not in accepted executable scope; original Notes and any unresolved path retained."
"ARCHER_CONTENT_AUTHORIZATION_PACKAGE_FIRST_PUBLISHED","SSP - Metadata","system-security-plan.metadata.published","Transform","Convert timestamp to OSCAL date-time.","APPROVED","timestamp","system-security-plan.metadata.published","ssp:ARCHER_CONTENT_AUTHORIZATION_PACKAGE_FIRST_PUBLISHED:21","source-one","","","","","","","","","2","Mapping/SSP_METADATA.md","12","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"ARCHER_CONTENT_AUTHORIZATION_PACKAGE_LAST_UPDATED","SSP - Metadata","system-security-plan.metadata.last-modified","Transform","Convert timestamp to OSCAL date-time.","APPROVED","timestamp","system-security-plan.metadata.last-modified","ssp:ARCHER_CONTENT_AUTHORIZATION_PACKAGE_LAST_UPDATED:19","source-one","","","","","","","","","3","Mapping/SSP_METADATA.md","13","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"TRACKING_ID","SSP - Metadata","system-security-plan.metadata.document-ids[].identifier","Transform","Preserve identifier scheme when available.","APPROVED","identifier","system-security-plan.metadata.document-ids[].identifier","ssp:TRACKING_ID:22","source-one","","","","","","","","","4","Mapping/SSP_METADATA.md","14","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"FIRST_PUBLISHED","SSP - Metadata","system-security-plan.metadata.published","Direct","Validate/normalize as OSCAL date-time.","APPROVED","timestamp","system-security-plan.metadata.published","ssp:FIRST_PUBLISHED:20","source-one","","","","","","","","","5","Mapping/SSP_METADATA.md","15","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"LAST_UPDATED","SSP - Metadata","system-security-plan.metadata.last-modified","Transform","Convert timestamp to OSCAL date-time.","APPROVED","timestamp","system-security-plan.metadata.last-modified","ssp:LAST_UPDATED:18","source-one","","","","","","","","","6","Mapping/SSP_METADATA.md","16","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INFORMATION_OWNER_IO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","Transform","Create a party and link it with the applicable system/information-owner role.","APPROVED","direct","system-security-plan.metadata.responsible-parties[]","ssp:INFORMATION_OWNER_IO:24","source-one","","","","information-owner","Information Owner","","","","7","Mapping/SSP_METADATA.md","24","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"INFORMATION_SYSTEM_OWNER_ISO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","Transform","Create a party and link it with the applicable system/information-owner role.","APPROVED","direct","system-security-plan.metadata.responsible-parties[]","ssp:INFORMATION_SYSTEM_OWNER_ISO:25","source-one","","","","system-owner","Information System Owner","","","","8","Mapping/SSP_METADATA.md","25","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
"SENIOR_INFORMATION_SYSTEMS_SECURITY_OFFICER_SISSO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","TBD","Needs analysis.","DEFERRED","","","","source-one","","","","","","","","","9","Mapping/SSP_METADATA.md","26","","Not in accepted executable scope; original Notes and any unresolved path retained."
"AUTHORIZING_OFFICIAL_AO","SSP - Metadata","system-security-plan.metadata.responsible-parties[]","Transform","Create a party and link with role-id=""authorizing-official"".","APPROVED","direct","system-security-plan.metadata.responsible-parties[]","ssp:AUTHORIZING_OFFICIAL_AO:26","source-one","","","","authorizing-official","Authorizing Official","","","","10","Mapping/SSP_METADATA.md","27","","Preserves accepted implementation. Source Notes are provenance; this does not resolve previously recorded Notes conflicts."
